"riding_id","election_id","order","cre_id","party_name","candidate_name","re_id","votes","votes_percent","delta_percent","expenditures","elected"
"Bay of Quinte","F2015",1,"F2015:Bay of Quinte:Jodie Jenkins:Conservative","Conservative","Jodie Jenkins","F2015:Bay of Quinte",19781,34.27,NA,"109092.53",FALSE
"Bay of Quinte","F2015",0,"F2015:Bay of Quinte:Neil Ellis:Liberal","Liberal","Neil Ellis","F2015:Bay of Quinte",29281,50.74,NA,"118473.86",TRUE
"Bay of Quinte","F2015",3,"F2015:Bay of Quinte:Rachel Nelems:Green","Green","Rachel Nelems","F2015:Bay of Quinte",1278,2.21,NA,NA,FALSE
"Bay of Quinte","F2015",2,"F2015:Bay of Quinte:Terry Cassidy:New Democratic","New Democratic","Terry Cassidy","F2015:Bay of Quinte",7001,12.13,NA,"21205.5",FALSE
"Beaches-East York","F2015",2,"F2015:Beaches-East York:Bill Burrows:Conservative","Conservative","Bill Burrows","F2015:Beaches-East York",9124,16.43,NA,"35453.04",FALSE
"Beaches-East York","F2015",1,"F2015:Beaches-East York:Matthew Kellway:New Democratic","New Democratic","Matthew Kellway","F2015:Beaches-East York",17113,30.82,NA,"129211.99",FALSE
"Beaches-East York","F2015",0,"F2015:Beaches-East York:Nathaniel Erskine-Smith:Liberal","Liberal","Nathaniel Erskine-Smith","F2015:Beaches-East York",27458,49.45,NA,"104089.5",TRUE
"Beaches-East York","F2015",3,"F2015:Beaches-East York:Randall Sach:Green","Green","Randall Sach","F2015:Beaches-East York",1433,2.58,NA,"3691.94",FALSE
"Beauce","F2015",1,"F2015:Beauce:Adam Veilleux:Liberal","Liberal","Adam Veilleux","F2015:Beauce",12442,22.26,NA,"37503.99",FALSE
"Beauce","F2015",4,"F2015:Beauce:Céline Brown MacDonald:Green","Green","Céline Brown MacDonald","F2015:Beauce",943,1.69,NA,NA,FALSE
"Beauce","F2015",2,"F2015:Beauce:Daniel Royer:New Democratic","New Democratic","Daniel Royer","F2015:Beauce",5443,9.74,NA,"1888.06",FALSE
"Beauce","F2015",0,"F2015:Beauce:Maxime Bernier:Conservative","Conservative","Maxime Bernier","F2015:Beauce",32910,58.89,NA,"141146.53",TRUE
"Beauce","F2015",3,"F2015:Beauce:Stéphane Trudel:Bloc Québécois","Bloc Québécois","Stéphane Trudel","F2015:Beauce",4144,7.42,NA,"1993.05",FALSE
